key,ticker,title,deadline,salary,score,description,more-info,draft-mode,key:employer,key:contractor
# base entity,,,,,,,,,,
job-00,,,,,50,,,TRUE,,
# ticker - standard variations,,,,,,,,,,
job-01,,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-02,TICKER-DUP,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-03,TICKER-DUP,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-04,TICK,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-05,TICKER-123456789,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-06,A&B&C,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
# ticker - no singular values,,,,,,,,,,
# title - standard variations,,,,,,,,,,
job-07,TICKER-01,,2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-08,TICKER-02,Lo,2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-09,TICKER-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
# title - no singular values,,,,,,,,,,
"# deadline - standard variations (Note that project Acme Jobs, redefines the valid moment range!)",,,,,,,,,,
job-10,TICKER-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",1999/12/31 23:59,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-11,TICKER-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",2201/01/01 00:01,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-12,TICKER-06,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/07 23:59,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
# deadline - no singular values,,,,,,,,,,
# salary - standard variations,,,,,,,,,,
job-13,TICKER-07,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR -0.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-14,TICKER-08,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 1000000.01,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
# salary - no singular values,,,,,,,,,,
# score - standard variations,,,,,,,,,,
job-15,TICKER-09,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,-0.01,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-16,TICKER-10,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,100.01,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
# score - no singular values,,,,,,,,,,
# description - standard variations,,,,,,,,,,
job-17,TICKER-11,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,,http://lorem.com/ipsum,TRUE,employer-01,company-01
job-18,TICKER-12,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",http://lorem.com/ipsum,TRUE,employer-01,company-01
# description - no singular values,,,,,,,,,,
# more-info - standard variations,,,,,,,,,,
job-19,TICKER-13,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",,TRUE,employer-01,company-01
job-20,TICKER-14,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://,TRUE,employer-01,company-01
job-21,TICKER-15,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",ftp://,TRUE,employer-01,company-01
job-22,TICKER-16,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://a,TRUE,employer-01,company-01
job-23,TICKER-17,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",ftp://a,TRUE,employer-01,company-01
job-24,TICKER-18,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/x",TRUE,employer-01,company-01
# more-info - no singular values,,,,,,,,,,
# draft-mode - standard variations,,,,,,,,,,
# draft-mode - no singular values,,,,,,,,,,
#  employer - standard variations,,,,,,,,,,
# employer - no singular values,,,,,,,,,,
# company - standard variations,,,,,,,,,,
# company - no singular values,,,,,,,,,,
